title,ean,iwasku,fiyat,ham_maliyet_euro,desi,tr_ne_navlun,ne_de_navlun,kara_tr_de_navlun,express_kargo,ddp,hava_tr_de_navlun,reklam
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL M-100cm Mixed,8684089412149,CA041C0A8DWG,"€84,90","€12,17",2,"€4,01","€7,24","€11,25","€13,51","€5,00","€18,51","€5,25"
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL L-150cm Mixed,8684089412019,CA041C020Y5P,"€89,90","€14,41",4,"€5,80","€7,24","€13,04","€16,10","€5,00","€21,10","€5,25"
AHM-008 Murphy Katlanır Masa Standart MDF Brown,8684089407145,AHM0080JCDG6,"€149,00","€26,12",15,"€15,25","€7,24","€22,49","€68,79","€5,00","€73,79","€5,25"
AHM-008 Murphy Katlanır Masa Standart MDF White,8684089407152,AHM0080CJYJQ,"€149,00","€26,12",15,"€15,25","€7,24","€22,49","€68,79","€5,00","€73,79","€5,25"
DS-002 Strafor Tuğla Desenli 9 adet Babylon,8684089411760,DS002009CZ36,"€180,00","€31,50",25,"€24,44","€7,24","€31,68","€95,05","€5,00","€100,05","€5,25"
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL XL-200cm Mixed,8684089400603,CA041C0RZ7WV,"€119,00","€20,96",6,"€7,87","€7,24","€15,11","€28,75","€5,00","€33,75","€5,25"
AHM-047 Floating Nightstand Standart Spruce White,8684089407190,AHM0470G49P7,"€85,00","€12,81","3,5","€5,23","€7,24","€12,47","€16,10","€5,00","€21,10","€5,25"
AHM-047 Floating Nightstand Standart Walnut Black,8684089407183,AHM0470TZC22,"€85,00","€12,81","3,5","€5,48","€7,24","€12,72","€16,10","€5,00","€21,10","€5,25"
DS-013 Travarten 2'li Yuvarlak Zigon TekEbat Tek Renk,8684089478831,DS01300W4PNQ,"€94,90","€12,61","3,5","€6,30","€7,24","€13,54","€16,10","€5,00","€21,10","€5,25"
DS-017 Gold Ayaklı Yuvarlak Zigon Small Black -2'li,8684089478855,DS01700FBCQK,"€85,00","€6,87",5,"€6,56","€7,24","€13,80","€28,75","€5,00","€33,75","€5,25"
DS-017 Gold Ayaklı Yuvarlak Zigon Small White -2'li,8684089478862,DS01700HFNY6,"€85,00","€6,87",5,"€6,56","€7,24","€13,80","€28,75","€5,00","€33,75","€5,25"
